,name,start
1388,Неспростая весна,2003-03-23 00:00:00
1394,Новруз,2003-03-24 00:00:00
1398,Чемпионат Херсонской области,2003-03-30 00:00:00
1387,Кубок городов,2003-03-30 00:00:00
1384,Чемпионат Санкт-Петербурга. Высшая лига,2002-11-17 00:00:00
1386,Чемпионат Санкт-Петербурга. Первая лига,2002-11-17 00:00:00
1402,Чемпионат Харькова. Первая лига,2002-10-14 00:00:00
1367,Кубок ректора ЮУрГУ,2003-04-12 00:00:00
1396,Каменный цветок,2003-04-19 00:00:00
1401,Чемпионат Харькова. Высшая лига,2002-09-22 00:00:00
1358,Великолукская осень,2003-04-19 00:00:00
1403,Чемпионат Харькова. Вторая лига,2002-11-04 00:00:00
3277,Поволжская лига,2002-09-02 14:00:00
1382,Чемпионат Новосибирска,2002-10-06 00:00:00
1731,Чемпионат Мордовии,2002-10-01 00:00:00
1391,Открытый чемпионат Саратова,2003-05-01 00:00:00
1392,Кубок Полесья,2003-05-01 00:00:00
1381,Чемпионат Израиля,2003-05-03 00:00:00
1395,Чемпионат Азербайджана,2003-05-11 00:00:00
1362,Открытый кубок Украины,2003-05-10 00:00:00
1361,Одессея,2003-05-10 00:00:00
1426,"Чемпионат клуба ""Эрудит""",2002-09-19 00:00:00
1429,"Турнир клуба ""Интигра""",2003-02-16 00:00:00
1408,Чемпионат Москвы. Вторая лига. Дивизион Open,2002-11-23 00:00:00
1405,Чемпионат Москвы. Первая лига,2002-11-03 00:00:00
1411,Чемпионат Тернопольской области,2002-09-01 00:00:00
1435,Урало-Сибирская лига,2002-12-22 00:00:00
1417,Чемпионат Киева. Высшая лига,2002-11-16 00:00:00
1438,Чемпионат Одессы. Первая лига,2002-09-29 00:00:00
1437,Чемпионат Одессы. Высшая лига,2002-09-29 00:00:00
1409,Чемпионат Москвы. Высшая лига,2002-10-20 00:00:00
2330,Чемпионат Ростова-на-Дону,2002-09-01 00:00:00
1425,Золотой Скиф - online,2003-06-01 00:00:00
1421,Кубок Метрополии,2003-06-12 00:00:00
1412,Плей-офф сезона 2002-03,2003-05-18 00:00:00
145,Прототурнир,1999-01-01 00:00:00
11,Белые ночи - Инжэкон,2003-07-05 00:00:00
1434,Остров сокровищ,2003-07-11 00:00:00
1,Чемпионат Южного Кавказа,2003-07-25 00:00:00
1407,"Кубок КРК ""Даир""",2003-07-27 00:00:00
2,Летние зори,2003-08-09 00:00:00
8,Чемпионат мира,2003-08-13 00:00:00
1424,Подмосковные вечера,2003-08-16 00:00:00
1406,Братская могила,2003-08-31 00:00:00
13,Летний лагерь в Баварии (Хоббах),2003-09-05 00:00:00
1431,Серебристый журавль,2003-09-13 00:00:00
12,Кубок провинций,2003-09-28 00:00:00
4,Чемпионат Украины. Переходной этап,2003-10-11 00:00:00
5,Бостонское чаепитие,2003-10-10 00:00:00
6,Нестерка,2003-10-18 00:00:00
26,Открытый кубок Татарстана (Студ. чемпионат России),2003-10-26 00:00:00
10,Гостиный двор,2003-11-08 00:00:00
14,Самариум,2003-11-08 00:00:00
1415,Турнир на кубок Кольской АЭС,2003-11-15 00:00:00
3,Турнир в Ижевске,2003-11-22 00:00:00
7,"Фестиваль, посвящённый 60-летию ЮрГУ",2003-11-29 00:00:00
1889,Кубок Рубика,2003-11-24 00:00:00
1439,Чемпионат Калуги,2003-09-28 00:00:00
16,Открытый кубок России,2003-12-07 00:00:00
2417,Чемпионат Саратова,2003-12-20 00:00:00
9,Неспростая зима,2003-12-28 00:00:00
28,Новогодний кубок Екатеринбурга,2004-01-02 00:00:00
27,Неспростой Израиль,2004-01-17 00:00:00
3208,АИСТ,2003-06-15 00:00:00
60,Чемпионат Украины. Вторая лига,2003-10-25 00:00:00
23,Чемпионат Беларуси,2004-02-21 00:00:00
22,Чемпионат России,2004-02-21 00:00:00
